time,pv,cv,sp,kp,ki,kd
4396,0.00,0.00,10.00,45.00,9.91,51.08
62810,7.65,0.00,10.00,45.00,9.91,51.08
63314,8.03,100.00,10.00,45.00,9.91,51.08
63817,8.23,100.00,10.00,45.00,9.91,51.08
64322,8.70,100.00,10.00,45.00,9.91,51.08
64825,8.82,100.00,10.00,45.00,9.91,51.08
65330,9.19,100.00,10.00,45.00,9.91,51.08
65834,9.37,100.00,10.00,45.00,9.91,51.08
66338,9.65,100.00,10.00,45.00,9.91,51.08
66843,9.82,100.00,10.00,45.00,9.91,51.08
67347,10.17,100.00,10.00,45.00,9.91,51.08
67851,10.72,85.01,10.00,45.00,9.91,51.08
68358,10.85,39.61,10.00,45.00,9.91,51.08
68862,11.06,41.76,10.00,45.00,9.91,51.08
69367,11.38,0.00,10.00,45.00,9.91,51.08
69871,11.45,13.13,10.00,45.00,9.91,51.08
70375,11.45,8.37,10.00,45.00,9.91,51.08
70880,11.43,0.00,10.00,45.00,9.91,51.08
71384,11.39,0.00,10.00,45.00,9.91,51.08
71888,11.32,8.67,10.00,45.00,9.91,51.08
72393,11.30,0.00,10.00,45.00,9.91,51.08
72897,11.24,0.00,10.00,45.00,9.91,51.08
73401,11.18,0.00,10.00,45.00,9.91,51.08
73906,11.12,0.00,10.00,45.00,9.91,51.08
74410,11.04,0.00,10.00,45.00,9.91,51.08
74916,10.98,0.00,10.00,45.00,9.91,51.08
75421,10.93,0.00,10.00,45.00,9.91,51.08
75925,10.85,0.26,10.00,45.00,9.91,51.08
76430,10.75,0.00,10.00,45.00,9.91,51.08
76934,10.70,0.00,10.00,45.00,9.91,51.08
77439,10.62,0.00,10.00,45.00,9.91,51.08
77943,10.52,3.79,10.00,45.00,9.91,51.08
78447,10.40,8.01,10.00,45.00,9.91,51.08
78951,10.32,14.89,10.00,45.00,9.91,51.08
79456,10.29,0.00,10.00,45.00,9.91,51.08
79960,10.22,1.89,10.00,45.00,9.91,51.08
80465,10.14,3.77,10.00,45.00,9.91,51.08
80971,10.07,18.16,10.00,45.00,9.91,51.08
81475,10.05,0.00,10.00,45.00,9.91,51.08
81979,9.95,10.33,10.00,45.00,9.91,51.08
82484,9.87,23.91,10.00,45.00,9.91,51.08
82988,9.78,43.41,10.00,45.00,9.91,51.08
83492,9.70,9.50,10.00,45.00,9.91,51.08
83997,9.64,33.42,10.00,45.00,9.91,51.08
84502,9.53,44.77,10.00,45.00,9.91,51.08
85005,9.43,73.69,10.00,45.00,9.91,51.08
85510,9.36,22.14,10.00,45.00,9.91,51.08
86014,9.30,56.54,10.00,45.00,9.91,51.08
86518,9.24,40.55,10.00,45.00,9.91,51.08
87022,9.16,86.49,10.00,45.00,9.91,51.08
87529,9.05,86.91,10.00,45.00,9.91,51.08
88032,9.00,84.92,10.00,45.00,9.91,51.08
88537,8.90,79.19,10.00,45.00,9.91,51.08
89041,8.84,100.00,10.00,45.00,9.91,51.08
89545,8.86,77.54,10.00,45.00,9.91,51.08
90049,8.94,100.00,10.00,45.00,9.91,51.08
90553,9.07,94.77,10.00,45.00,9.91,51.08
91057,9.34,17.82,10.00,45.00,9.91,51.08
91561,9.62,0.00,10.00,45.00,9.91,51.08
92065,9.84,4.44,10.00,45.00,9.91,51.08
92569,9.89,72.14,10.00,45.00,9.91,51.08
93073,10.04,52.10,10.00,45.00,9.91,51.08
93580,10.28,0.00,10.00,45.00,9.91,51.08
94084,10.43,25.03,10.00,45.00,9.91,51.08
94588,10.54,39.50,10.00,45.00,9.91,51.08
95093,10.54,28.19,10.00,45.00,9.91,51.08
95597,10.55,26.83,10.00,45.00,9.91,51.08
96101,10.46,43.55,10.00,45.00,9.91,51.08
96605,10.40,63.05,10.00,45.00,9.91,51.08
97109,10.30,25.30,10.00,45.00,9.91,51.08
97613,10.26,36.88,10.00,45.00,9.91,51.08
98117,10.15,57.58,10.00,45.00,9.91,51.08
98621,10.04,67.86,10.00,45.00,9.91,51.08
99126,9.99,40.39,10.00,45.00,9.91,51.08
99633,9.93,55.25,10.00,45.00,9.91,51.08
100137,9.80,49.35,10.00,45.00,9.91,51.08
100641,9.72,84.68,10.00,45.00,9.91,51.08
101145,9.63,64.57,10.00,45.00,9.91,51.08
101649,9.58,76.10,10.00,45.00,9.91,51.08
102154,9.51,62.25,10.00,45.00,9.91,51.08
102658,9.59,44.83,10.00,45.00,9.91,51.08
103162,9.73,64.25,10.00,45.00,9.91,51.08
103666,9.79,68.82,10.00,45.00,9.91,51.08
104170,9.84,68.78,10.00,45.00,9.91,51.08
104674,9.95,68.70,10.00,45.00,9.91,51.08
105179,10.03,31.95,10.00,45.00,9.91,51.08
105685,10.10,55.42,10.00,45.00,9.91,51.08
106189,10.13,48.61,10.00,45.00,9.91,51.08
106693,10.19,35.34,10.00,45.00,9.91,51.08
107197,10.18,57.83,10.00,45.00,9.91,51.08
107702,10.19,53.99,10.00,45.00,9.91,51.08
108206,10.19,44.10,10.00,45.00,9.91,51.08
108710,10.21,51.79,10.00,45.00,9.91,51.08
109215,10.14,58.62,10.00,45.00,9.91,51.08
109719,10.10,59.44,10.00,45.00,9.91,51.08
110223,10.06,31.94,10.00,45.00,9.91,51.08
110727,10.03,50.94,10.00,45.00,9.91,51.08
111232,9.98,59.36,10.00,45.00,9.91,51.08
111732,9.92,80.33,10.00,45.00,9.91,51.08
112237,9.92,68.03,10.00,45.00,9.91,51.08
112741,9.90,66.54,10.00,45.00,9.91,51.08
113246,9.92,80.33,10.00,45.00,9.91,51.08
113750,9.95,37.19,10.00,45.00,9.91,51.08
114254,9.97,55.95,10.00,45.00,9.91,51.08
114759,10.01,41.70,10.00,45.00,9.91,51.08
115263,10.06,57.48,10.00,45.00,9.91,51.08
115767,10.07,48.00,10.00,45.00,9.91,51.08
116271,10.04,34.68,10.00,45.00,9.91,51.08
116776,10.03,48.18,10.00,45.00,9.91,51.08
117280,10.04,46.50,10.00,45.00,9.91,51.08
117787,10.02,57.73,10.00,45.00,9.91,51.08
118291,9.99,53.57,10.00,45.00,9.91,51.08
118795,9.98,49.04,10.00,45.00,9.91,51.08
119299,9.99,47.90,10.00,45.00,9.91,51.08
119804,10.00,30.97,10.00,45.00,9.91,51.08
120308,10.02,62.16,10.00,45.00,9.91,51.08
120813,9.99,56.64,10.00,45.00,9.91,51.08
121317,10.00,43.65,10.00,45.00,9.91,51.08
121821,10.00,50.00,10.00,45.00,9.91,51.08
122325,10.01,33.28,10.00,45.00,9.91,51.08
122830,10.03,52.34,10.00,45.00,9.91,51.08
123334,10.03,41.87,10.00,45.00,9.91,51.08
123841,10.04,43.49,10.00,45.00,9.91,51.08
124345,10.07,52.67,10.00,45.00,9.91,51.08
124850,10.10,40.50,10.00,45.00,9.91,51.08
125355,10.08,51.21,10.00,45.00,9.91,51.08
125859,10.08,70.70,10.00,45.00,9.91,51.08
126364,10.06,49.60,10.00,45.00,9.91,51.08
126868,10.02,63.39,10.00,45.00,9.91,51.08
127373,9.98,49.08,10.00,45.00,9.91,51.08
127877,9.94,54.91,10.00,45.00,9.91,51.08
128382,9.97,61.58,10.00,45.00,9.91,51.08
128886,9.96,33.97,10.00,45.00,9.91,51.08
129391,9.91,71.68,10.00,45.00,9.91,51.08
129898,9.93,44.99,10.00,45.00,9.91,51.08
130402,9.92,33.93,10.00,45.00,9.91,51.08
130907,9.93,53.62,10.00,45.00,9.91,51.08
131412,9.92,71.17,10.00,45.00,9.91,51.08
131916,9.93,46.19,10.00,45.00,9.91,51.08
132421,9.96,53.29,10.00,45.00,9.91,51.08
132925,9.97,45.00,10.00,45.00,9.91,51.08
133430,9.99,53.54,10.00,45.00,9.91,51.08
133934,10.03,31.53,10.00,45.00,9.91,51.08
134439,10.04,49.78,10.00,45.00,9.91,51.08
134944,10.05,51.74,10.00,45.00,9.91,51.08
135448,10.04,64.84,10.00,45.00,9.91,51.08
135953,10.07,54.18,10.00,45.00,9.91,51.08
136459,10.10,53.16,10.00,45.00,9.91,51.08
136963,10.06,42.90,10.00,45.00,9.91,51.08
137468,10.06,38.70,10.00,45.00,9.91,51.08
137973,10.07,44.92,10.00,45.00,9.91,51.08
138477,10.06,47.33,10.00,45.00,9.91,51.08
138982,10.01,59.24,10.00,45.00,9.91,51.08
139487,10.02,40.35,10.00,45.00,9.91,51.08
139991,9.98,44.73,10.00,45.00,9.91,51.08
140495,9.97,59.13,10.00,45.00,9.91,51.08
141000,9.96,69.91,10.00,45.00,9.91,51.08
141504,9.95,65.49,10.00,45.00,9.91,51.08
142009,9.97,62.02,10.00,45.00,9.91,51.08
142516,9.98,51.51,10.00,45.00,9.91,51.08
143020,9.94,57.74,10.00,45.00,9.91,51.08
143525,9.93,50.49,10.00,45.00,9.91,51.08
144029,9.93,59.74,10.00,45.00,9.91,51.08
144533,9.92,46.05,10.00,45.00,9.91,51.08
145037,9.92,40.38,10.00,45.00,9.91,51.08
145541,9.92,56.86,10.00,45.00,9.91,51.08
146046,9.97,46.02,10.00,45.00,9.91,51.08
146550,9.98,47.66,10.00,45.00,9.91,51.08
147055,9.98,61.32,10.00,45.00,9.91,51.08
147559,10.00,41.36,10.00,45.00,9.91,51.08
148064,10.01,46.21,10.00,45.00,9.91,51.08
148570,10.01,51.97,10.00,45.00,9.91,51.08
149075,10.02,59.15,10.00,45.00,9.91,51.08
149580,10.03,58.83,10.00,45.00,9.91,51.08
150084,10.05,52.86,10.00,45.00,9.91,51.08
150588,10.04,44.45,10.00,45.00,9.91,51.08
