time,pv,cv,sp,kp,ki,kd,sp_change,time_sec
7634327,19.03,78.7,20.0,45.0,9.91,51.08,False,7634.327
7634836,19.35,83.88,20.0,45.0,9.91,51.08,False,7634.836
7635338,19.51,100.0,20.0,45.0,9.91,51.08,False,7635.338
7635838,19.78,45.89,20.0,45.0,9.91,51.08,False,7635.838
7636347,20.01,39.18,20.0,45.0,9.91,51.08,False,7636.347
7636855,20.24,29.34,20.0,45.0,9.91,51.08,False,7636.855
7637355,20.38,67.58,20.0,45.0,9.91,51.08,False,7637.355
7637864,20.62,68.43,20.0,45.0,9.91,51.08,False,7637.864
7638373,20.75,17.57,20.0,45.0,9.91,51.08,False,7638.373
7638873,20.87,0.4,20.0,45.0,9.91,51.08,False,7638.873
7639382,21.01,0.0,20.0,45.0,9.91,51.08,False,7639.382
7639890,21.07,14.9,20.0,45.0,9.91,51.08,False,7639.89
7640399,21.1,30.09,20.0,45.0,9.91,51.08,False,7640.399
7640904,21.12,18.32,20.0,45.0,9.91,51.08,False,7640.904
7641404,21.09,25.38,20.0,45.0,9.91,51.08,False,7641.404
7641913,21.06,5.66,20.0,45.0,9.91,51.08,False,7641.913
7642421,20.99,3.73,20.0,45.0,9.91,51.08,False,7642.421
7642930,20.89,4.33,20.0,45.0,9.91,51.08,False,7642.93
7643438,20.76,36.83,20.0,45.0,9.91,51.08,False,7643.438
7643938,20.65,1.94,20.0,45.0,9.91,51.08,False,7643.938
7644447,20.59,15.07,20.0,45.0,9.91,51.08,False,7644.447
7644955,20.49,12.34,20.0,45.0,9.91,51.08,False,7644.955
7645455,20.36,10.17,20.0,45.0,9.91,51.08,False,7645.455
7645955,20.23,25.51,20.0,45.0,9.91,51.08,False,7645.955
7646464,20.16,11.1,20.0,45.0,9.91,51.08,False,7646.464
7646966,20.06,34.6,20.0,45.0,9.91,51.08,False,7646.966
7647474,19.96,30.63,20.0,45.0,9.91,51.08,False,7647.474
7647984,19.86,48.25,20.0,45.0,9.91,51.08,False,7647.984
7648493,19.74,34.01,20.0,45.0,9.91,51.08,False,7648.493
7649001,19.68,38.71,20.0,45.0,9.91,51.08,False,7649.001
7649501,19.55,56.25,20.0,45.0,9.91,51.08,False,7649.501
7650001,19.43,90.54,20.0,45.0,9.91,51.08,False,7650.001
7650511,19.3,100.0,20.0,45.0,9.91,51.08,False,7650.511
7651020,19.19,68.19,20.0,45.0,9.91,51.08,False,7651.02
7651520,19.12,83.78,20.0,45.0,9.91,51.08,False,7651.52
7652028,19.12,88.07,20.0,45.0,9.91,51.08,False,7652.028
7652528,19.23,44.32,20.0,45.0,9.91,51.08,False,7652.528
7653029,19.39,43.02,20.0,45.0,9.91,51.08,False,7653.029
7653529,19.49,77.28,20.0,45.0,9.91,51.08,False,7653.529
7654038,19.57,80.33,20.0,45.0,9.91,51.08,False,7654.038
7654547,19.81,14.45,20.0,45.0,9.91,51.08,False,7654.547
7655055,19.94,43.53,20.0,45.0,9.91,51.08,False,7655.055
7655564,20.05,51.92,20.0,45.0,9.91,51.08,False,7655.564
7656073,20.13,66.37,20.0,45.0,9.91,51.08,False,7656.073
7656582,20.28,38.45,20.0,45.0,9.91,51.08,False,7656.582
7657082,20.35,41.12,20.0,45.0,9.91,51.08,False,7657.082
7657591,20.36,33.66,20.0,45.0,9.91,51.08,False,7657.591
