time,pv,cv,sp,kp,ki,kd,sp_change,time_sec
3978273,19.17,100.0,20.0,45.0,9.91,51.08,False,3978.273
3978781,19.53,100.0,20.0,45.0,9.91,51.08,False,3978.781
3979289,19.78,100.0,20.0,45.0,9.91,51.08,False,3979.289
3979792,19.91,100.0,20.0,45.0,9.91,51.08,False,3979.792
3980299,20.17,86.14,20.0,45.0,9.91,51.08,False,3980.299
3980807,20.46,0.33,20.0,45.0,9.91,51.08,False,3980.807
3981315,20.62,29.29,20.0,45.0,9.91,51.08,False,3981.315
3981817,20.7,43.28,20.0,45.0,9.91,51.08,False,3981.817
3982317,20.87,54.65,20.0,45.0,9.91,51.08,False,3982.317
3982825,20.98,41.91,20.0,45.0,9.91,51.08,False,3982.825
3983332,21.06,35.75,20.0,45.0,9.91,51.08,False,3983.332
3983835,21.13,24.41,20.0,45.0,9.91,51.08,False,3983.835
3984343,21.14,14.26,20.0,45.0,9.91,51.08,False,3984.343
3984850,21.13,9.63,20.0,45.0,9.91,51.08,False,3984.85
3985358,21.03,39.93,20.0,45.0,9.91,51.08,False,3985.358
3985861,20.94,36.31,20.0,45.0,9.91,51.08,False,3985.861
3986369,20.92,12.54,20.0,45.0,9.91,51.08,False,3986.369
3986876,20.79,10.48,20.0,45.0,9.91,51.08,False,3986.876
3987383,20.68,48.05,20.0,45.0,9.91,51.08,False,3987.383
3987886,20.55,39.31,20.0,45.0,9.91,51.08,False,3987.886
3988386,20.43,12.72,20.0,45.0,9.91,51.08,False,3988.386
3988894,20.35,27.24,20.0,45.0,9.91,51.08,False,3988.894
3989402,20.22,17.68,20.0,45.0,9.91,51.08,False,3989.402
3989904,20.12,49.77,20.0,45.0,9.91,51.08,False,3989.904
3990412,20.0,60.0,20.0,45.0,9.91,51.08,False,3990.412
3990919,19.94,30.56,20.0,45.0,9.91,51.08,False,3990.919
3991427,19.8,37.05,20.0,45.0,9.91,51.08,False,3991.427
3991930,19.69,70.26,20.0,45.0,9.91,51.08,False,3991.93
3992438,19.58,76.95,20.0,45.0,9.91,51.08,False,3992.438
3992945,19.46,52.99,20.0,45.0,9.91,51.08,False,3992.945
3993453,19.41,63.9,20.0,45.0,9.91,51.08,False,3993.453
3993958,19.27,72.2,20.0,45.0,9.91,51.08,False,3993.958
3994466,19.16,95.53,20.0,45.0,9.91,51.08,False,3994.466
3994974,19.08,100.0,20.0,45.0,9.91,51.08,False,3994.974
3995481,19.16,94.37,20.0,45.0,9.91,51.08,False,3995.481
3995984,19.21,100.0,20.0,45.0,9.91,51.08,False,3995.984
3996492,19.42,84.21,20.0,45.0,9.91,51.08,False,3996.492
3996999,19.64,43.89,20.0,45.0,9.91,51.08,False,3996.999
3997507,19.87,26.96,20.0,45.0,9.91,51.08,False,3997.507
3998010,19.89,70.4,20.0,45.0,9.91,51.08,False,3998.01
3998518,20.01,60.3,20.0,45.0,9.91,51.08,False,3998.518
3999025,20.1,72.14,20.0,45.0,9.91,51.08,False,3999.025
3999533,20.18,50.14,20.0,45.0,9.91,51.08,False,3999.533
4000037,20.26,51.85,20.0,45.0,9.91,51.08,False,4000.037
4000544,20.25,42.45,20.0,45.0,9.91,51.08,False,4000.544
4001052,20.31,36.65,20.0,45.0,9.91,51.08,False,4001.052
4001559,20.36,38.92,20.0,45.0,9.91,51.08,False,4001.559
4002062,20.33,61.78,20.0,45.0,9.91,51.08,False,4002.062
4002569,20.33,48.31,20.0,45.0,9.91,51.08,False,4002.569
4003077,20.25,41.36,20.0,45.0,9.91,51.08,False,4003.077
4003584,20.19,59.57,20.0,45.0,9.91,51.08,False,4003.584
4004087,20.08,60.77,20.0,45.0,9.91,51.08,False,4004.087
4004594,19.97,46.65,20.0,45.0,9.91,51.08,False,4004.594
4005102,19.95,61.91,20.0,45.0,9.91,51.08,False,4005.102
4005608,19.88,68.6,20.0,45.0,9.91,51.08,False,4005.608
4006111,19.84,58.69,20.0,45.0,9.91,51.08,False,4006.111
4006618,19.89,66.35,20.0,45.0,9.91,51.08,False,4006.618
4007126,19.92,69.99,20.0,45.0,9.91,51.08,False,4007.126
4007633,19.94,78.21,20.0,45.0,9.91,51.08,False,4007.633
4008136,19.98,49.69,20.0,45.0,9.91,51.08,False,4008.136
