time,pv,cv,sp,kp,ki,kd
17192,17.58,0.00,10.00,45.00,9.91,51.08
17693,17.46,0.00,10.00,45.00,9.91,51.08
18196,17.33,0.00,10.00,45.00,9.91,51.08
18699,17.26,0.00,10.00,45.00,9.91,51.08
19207,17.13,0.00,10.00,45.00,9.91,51.08
19711,17.01,0.00,10.00,45.00,9.91,51.08
20214,16.88,0.00,10.00,45.00,9.91,51.08
20717,16.75,0.00,10.00,45.00,9.91,51.08
21226,16.69,0.00,10.00,45.00,9.91,51.08
21729,16.56,0.00,10.00,45.00,9.91,51.08
22232,16.44,0.00,10.00,45.00,9.91,51.08
22735,16.30,0.00,10.00,45.00,9.91,51.08
23236,16.24,0.00,10.00,45.00,9.91,51.08
23739,16.12,0.00,10.00,45.00,9.91,51.08
24242,15.99,0.00,10.00,45.00,9.91,51.08
24746,15.86,0.00,10.00,45.00,9.91,51.08
25254,15.72,0.00,10.00,45.00,9.91,51.08
25757,15.66,0.00,10.00,45.00,9.91,51.08
26261,15.54,0.00,10.00,45.00,9.91,51.08
26764,15.41,0.00,10.00,45.00,9.91,51.08
27272,15.28,0.00,10.00,45.00,9.91,51.08
27776,15.22,0.00,10.00,45.00,9.91,51.08
28279,15.09,0.00,10.00,45.00,9.91,51.08
28783,14.96,0.00,10.00,45.00,9.91,51.08
29291,14.85,0.00,10.00,45.00,9.91,51.08
29796,14.73,0.00,10.00,45.00,9.91,51.08
30300,14.66,0.00,10.00,45.00,9.91,51.08
30803,14.53,0.00,10.00,45.00,9.91,51.08
31311,14.40,0.00,10.00,45.00,9.91,51.08
31815,14.26,0.00,10.00,45.00,9.91,51.08
32318,14.20,0.00,10.00,45.00,9.91,51.08
32821,14.08,0.00,10.00,45.00,9.91,51.08
33330,13.93,0.00,10.00,45.00,9.91,51.08
33833,13.78,0.00,10.00,45.00,9.91,51.08
34336,13.74,0.00,10.00,45.00,9.91,51.08
34840,13.61,0.00,10.00,45.00,9.91,51.08
35348,13.48,0.00,10.00,45.00,9.91,51.08
35853,13.34,0.00,10.00,45.00,9.91,51.08
36357,13.23,0.00,10.00,45.00,9.91,51.08
36860,13.16,0.00,10.00,45.00,9.91,51.08
37368,13.02,0.00,10.00,45.00,9.91,51.08
37871,12.91,0.00,10.00,45.00,9.91,51.08
38374,12.80,0.00,10.00,45.00,9.91,51.08
38878,12.72,0.00,10.00,45.00,9.91,51.08
39385,12.60,0.00,10.00,45.00,9.91,51.08
39888,12.47,0.00,10.00,45.00,9.91,51.08
40392,12.35,0.00,10.00,45.00,9.91,51.08
40895,12.22,0.00,10.00,45.00,9.91,51.08
41402,12.15,0.00,10.00,45.00,9.91,51.08
41906,12.04,0.00,10.00,45.00,9.91,51.08
42411,11.92,0.00,10.00,45.00,9.91,51.08
