time,pv,cv,sp,kp,ki,kd
1,0.0,100,10,45,9.91,51.08
2,0.0,100,10,45,9.91,51.08
3,0.0,100,10,45,9.91,51.08
4,0.0,100,10,45,9.91,51.08
5,0.0,100,10,45,9.91,51.08
6,0.0,100,10,45,9.91,51.08
7,0.0,100,10,45,9.91,51.08
8,0.0,100,10,45,9.91,51.08
9,0.0,100,10,45,9.91,51.08
10,0.0,100,10,45,9.91,51.08
11,0.0,100,10,45,9.91,51.08
12,0.0,100,10,45,9.91,51.08
13,0.0,100,10,45,9.91,51.08
14,0.0,100,10,45,9.91,51.08
15,0.0,100,10,45,9.91,51.08
16,0.0,100,10,45,9.91,51.08
17,0.0,100,10,45,9.91,51.08
18,0.0,100,10,45,9.91,51.08
19,0.0,100,10,45,9.91,51.08
20,0.0,100,10,45,9.91,51.08
21,0.0,100,10,45,9.91,51.08
22,0.0,100,10,45,9.91,51.08
23,0.0,100,10,45,9.91,51.08
24,0.0,100,10,45,9.91,51.08
25,0.0,100,10,45,9.91,51.08
26,0.0,100,10,45,9.91,51.08
27,0.0,100,10,45,9.91,51.08
28,0.0,100,10,45,9.91,51.08
29,0.0,100,10,45,9.91,51.08
30,0.02659988,100,10,45,9.91,51.08
31,0.5830002,100,10,45,9.91,51.08
32,1.051001,100,10,45,9.91,51.08
33,1.545,100,10,45,9.91,51.08
34,1.680201,100,10,45,9.91,51.08
35,2.257401,100,10,45,9.91,51.08
36,2.7358,100,10,45,9.91,51.08
37,3.125801,100,10,45,9.91,51.08
38,3.365,100,10,45,9.91,51.08
39,3.703001,100,10,45,9.91,51.08
40,4.082602,100,10,45,9.91,51.08
41,4.295801,100,10,45,9.91,51.08
42,4.5298,100,10,45,9.91,51.08
43,4.925001,100,10,45,9.91,51.08
44,5.3566,100,10,45,9.91,51.08
45,5.5282,100,10,45,9.91,51.08
46,5.871401,100,10,45,9.91,51.08
47,6.225,100,10,45,9.91,51.08
48,6.4538,100,10,45,9.91,51.08
49,6.708601,100,10,45,9.91,51.08
50,6.937401,100,10,45,9.91,51.08
51,7.239002,100,10,45,9.91,51.08
52,7.551003,100,10,45,9.91,51.08
53,7.831802,100,10,45,9.91,51.08
54,8.045002,100,10,45,9.91,51.08
55,8.325802,82.13976,10,45,9.91,51.08
56,8.710602,54.4323,10,45,9.91,51.08
57,9.084999,100,10,45,9.91,51.08
58,9.267002,100,10,45,9.91,51.08
59,9.584202,100,10,45,9.91,51.08
60,9.7402,100,10,45,9.91,51.08
61,10.0782,100,10,45,9.91,51.08
62,10.3486,88.9649,10,45,9.91,51.08
63,10.541,20.84538,10,45,9.91,51.08
64,10.905,68.63142,10,45,9.91,51.08
65,11.3626,29.09679,10,45,9.91,51.08
66,11.5602,3.623081,10,45,9.91,51.08
67,11.5758,0,10,45,9.91,51.08
68,11.4822,0,10,45,9.91,51.08
69,11.3938,0,10,45,9.91,51.08
70,11.2898,0,10,45,9.91,51.08
71,11.191,9.002483,10,45,9.91,51.08
72,11.087,0,10,45,9.91,51.08
73,10.9674,0,10,45,9.91,51.08
74,10.8686,0,10,45,9.91,51.08
75,10.8114,0,10,45,9.91,51.08
76,10.7074,0,10,45,9.91,51.08
77,10.6138,0,10,45,9.91,51.08
78,10.4942,0,10,45,9.91,51.08
79,10.359,17.9273,10,45,9.91,51.08
80,10.2394,0,10,45,9.91,51.08
81,10.1302,0,10,45,9.91,51.08
82,10.0002,12.88477,10,45,9.91,51.08
83,9.943001,4.353745,10,45,9.91,51.08
84,9.818199,7.212983,10,45,9.91,51.08
85,9.709,22.74006,10,45,9.91,51.08
86,9.5998,35.5098,10,45,9.91,51.08
87,9.475002,66.65108,10,45,9.91,51.08
88,9.3606,34.3548,10,45,9.91,51.08
89,9.246201,56.99251,10,45,9.91,51.08
90,9.152599,89.76894,10,45,9.91,51.08
91,9.0746,57.21412,10,45,9.91,51.08
92,8.9706,81.3006,10,45,9.91,51.08
93,8.871799,100,10,45,9.91,51.08
94,8.778202,89.08069,10,45,9.91,51.08
95,8.819801,60.71419,10,45,9.91,51.08
96,8.991402,42.60545,10,45,9.91,51.08
97,9.194202,100,10,45,9.91,51.08
98,9.475002,89.04734,10,45,9.91,51.08
99,9.625801,95.93674,10,45,9.91,51.08
100,9.885799,87.1105,10,45,9.91,51.08
101,10.0886,68.57365,10,45,9.91,51.08
102,10.2082,50.27647,10,45,9.91,51.08
103,10.4058,0,10,45,9.91,51.08
104,10.4786,23.5251,10,45,9.91,51.08
105,10.5618,36.89621,10,45,9.91,51.08
106,10.6242,37.5687,10,45,9.91,51.08
107,10.645,20.1159,10,45,9.91,51.08
108,10.5566,36.21203,10,45,9.91,51.08
109,10.4526,28.94022,10,45,9.91,51.08
110,10.3434,55.9467,10,45,9.91,51.08
111,10.2082,36.04293,10,45,9.91,51.08
112,10.1146,69.90935,10,45,9.91,51.08
113,9.994999,77.01115,10,45,9.91,51.08
114,9.875401,50.34804,10,45,9.91,51.08
115,9.786999,58.39931,10,45,9.91,51.08
116,9.709,56.93138,10,45,9.91,51.08
