time,pv,cv,sp,kp
583191,49.45,81.97,50.0,150.0
583714,49.39,92.13,50.0,150.0
584236,49.3,100.0,50.0,150.0
584759,49.25,100.0,50.0,150.0
585282,49.19,100.0,50.0,150.0
585805,49.27,100.0,50.0,150.0
586328,49.44,83.53,50.0,150.0
586850,49.68,48.38,50.0,150.0
587374,49.95,7.75,50.0,150.0
587896,50.1,0.0,50.0,150.0
588419,50.2,0.0,50.0,150.0
588942,50.22,0.0,50.0,150.0
589464,50.15,0.0,50.0,150.0
589990,50.07,0.0,50.0,150.0
590512,49.94,9.31,50.0,150.0
591036,49.82,26.5,50.0,150.0
591558,49.71,42.91,50.0,150.0
592081,49.65,52.28,50.0,150.0
592604,49.52,71.82,50.0,150.0
593127,49.42,86.66,50.0,150.0
593650,49.32,100.0,50.0,150.0
594173,49.24,100.0,50.0,150.0
594695,49.2,100.0,50.0,150.0
595218,49.21,100.0,50.0,150.0
595741,49.33,100.0,50.0,150.0
596263,49.55,67.91,50.0,150.0
596786,49.75,37.44,50.0,150.0
597309,49.97,3.85,50.0,150.0
597834,50.14,0.0,50.0,150.0
598357,50.26,0.0,50.0,150.0
598880,50.22,0.0,50.0,150.0
599403,50.15,0.0,50.0,150.0
599925,50.06,0.0,50.0,150.0
600449,49.91,13.22,50.0,150.0
600971,49.79,31.97,50.0,150.0
601494,49.66,51.5,50.0,150.0
602017,49.6,59.32,50.0,150.0
602540,49.5,75.72,50.0,150.0
603062,49.41,89.0,50.0,150.0
603585,49.3,100.0,50.0,150.0
604108,49.23,100.0,50.0,150.0
604630,49.18,100.0,50.0,150.0
605153,49.25,100.0,50.0,150.0
605676,49.47,79.63,50.0,150.0
606201,49.64,53.85,50.0,150.0
606725,49.82,27.28,50.0,150.0
607247,49.93,10.1,50.0,150.0
607770,50.03,0.0,50.0,150.0
608292,50.05,0.0,50.0,150.0
608815,49.99,1.5,50.0,150.0
609338,49.89,17.13,50.0,150.0
609861,49.8,30.41,50.0,150.0
610383,49.68,48.38,50.0,150.0
610906,49.56,65.56,50.0,150.0
611429,49.5,74.94,50.0,150.0
611952,49.41,89.0,50.0,150.0
612474,49.32,100.0,50.0,150.0
612997,49.26,100.0,50.0,150.0
613519,49.2,100.0,50.0,150.0
614045,49.38,92.91,50.0,150.0
614568,49.52,71.82,50.0,150.0
615091,49.65,52.28,50.0,150.0
615614,49.81,28.85,50.0,150.0
616137,49.94,8.53,50.0,150.0
616660,50.02,0.0,50.0,150.0
617183,49.97,3.85,50.0,150.0
617705,49.91,14.0,50.0,150.0
618229,49.85,22.6,50.0,150.0
618751,49.73,39.78,50.0,150.0
619274,49.6,60.1,50.0,150.0
619797,49.5,74.94,50.0,150.0
620320,49.4,89.78,50.0,150.0
620843,49.31,100.0,50.0,150.0
621365,49.26,100.0,50.0,150.0
621888,49.13,100.0,50.0,150.0
622414,49.25,100.0,50.0,150.0
622937,49.45,81.97,50.0,150.0
623459,49.67,49.94,50.0,150.0
623983,49.86,21.03,50.0,150.0
624506,50.0,0.72,50.0,150.0
625029,50.05,0.0,50.0,150.0
625552,50.09,0.0,50.0,150.0
626074,50.03,0.0,50.0,150.0
626598,49.93,10.1,50.0,150.0
627121,49.82,27.28,50.0,150.0
627644,49.72,41.35,50.0,150.0
628166,49.63,55.41,50.0,150.0
628689,49.54,69.47,50.0,150.0
629212,49.44,83.53,50.0,150.0
629736,49.33,100.0,50.0,150.0
630261,49.22,100.0,50.0,150.0
630784,49.11,100.0,50.0,150.0
631335,49.15,100.0,50.0,150.0
632090,49.4,89.78,50.0,150.0
632639,49.65,52.28,50.0,150.0
633162,49.93,10.1,50.0,150.0
633684,50.08,0.0,50.0,150.0
634207,50.15,0.0,50.0,150.0
634730,50.19,0.0,50.0,150.0
635253,50.17,0.0,50.0,150.0
635775,50.11,0.0,50.0,150.0
636298,50.0,0.72,50.0,150.0
636820,49.88,18.69,50.0,150.0
637343,49.74,39.0,50.0,150.0
637866,49.68,47.6,50.0,150.0
638388,49.57,64.78,50.0,150.0
638918,49.48,78.06,50.0,150.0
639440,49.37,94.47,50.0,150.0
639963,49.28,100.0,50.0,150.0
640485,49.16,100.0,50.0,150.0
641008,49.15,100.0,50.0,150.0
641531,49.23,100.0,50.0,150.0
642053,49.48,78.06,50.0,150.0
642576,49.67,49.16,50.0,150.0
643098,49.89,17.13,50.0,150.0
643621,50.07,0.0,50.0,150.0
644144,50.13,0.0,50.0,150.0
644666,50.1,0.0,50.0,150.0
645189,50.03,0.0,50.0,150.0
645711,49.96,5.41,50.0,150.0
646234,49.82,26.5,50.0,150.0
646759,49.7,45.25,50.0,150.0
647282,49.6,59.32,50.0,150.0
647806,49.55,67.91,50.0,150.0
648329,49.45,81.97,50.0,150.0
648852,49.33,100.0,50.0,150.0
649375,49.29,100.0,50.0,150.0
649897,49.2,100.0,50.0,150.0
650421,49.28,100.0,50.0,150.0
650944,49.35,96.82,50.0,150.0
651466,49.57,64.78,50.0,150.0
651989,49.8,30.41,50.0,150.0
652512,50.04,0.0,50.0,150.0
653035,50.13,0.0,50.0,150.0
653558,50.22,0.0,50.0,150.0
654080,50.19,0.0,50.0,150.0
654603,50.14,0.0,50.0,150.0
655128,50.03,0.0,50.0,150.0
655652,49.9,14.78,50.0,150.0
656175,49.8,29.63,50.0,150.0
656698,49.66,50.72,50.0,150.0
657220,49.56,65.56,50.0,150.0
657743,49.51,73.38,50.0,150.0
658266,49.44,84.32,50.0,150.0
658789,49.33,100.0,50.0,150.0
659312,49.28,100.0,50.0,150.0
659835,49.17,100.0,50.0,150.0
660358,49.33,99.94,50.0,150.0
660881,49.45,81.97,50.0,150.0
661404,49.63,56.19,50.0,150.0
661926,49.89,17.13,50.0,150.0
662449,50.0,0.72,50.0,150.0
662974,50.07,0.0,50.0,150.0
663497,50.02,0.0,50.0,150.0
664020,49.99,1.5,50.0,150.0
664543,49.92,12.44,50.0,150.0
665066,49.81,28.06,50.0,150.0
665589,49.66,50.72,50.0,150.0
666112,49.55,67.13,50.0,150.0
666635,49.46,81.19,50.0,150.0
667157,49.42,86.66,50.0,150.0
667680,49.33,100.0,50.0,150.0
668204,49.26,100.0,50.0,150.0
668726,49.15,100.0,50.0,150.0
669249,49.35,97.6,50.0,150.0
669772,49.53,70.25,50.0,150.0
670295,49.61,58.53,50.0,150.0
670818,49.82,26.5,50.0,150.0
671343,49.98,3.06,50.0,150.0
671866,50.08,0.0,50.0,150.0
672389,50.11,0.0,50.0,150.0
672912,50.03,0.0,50.0,150.0
673435,49.93,10.1,50.0,150.0
673958,49.87,19.47,50.0,150.0
674481,49.73,40.56,50.0,150.0
675004,49.58,63.22,50.0,150.0
675526,49.47,79.63,50.0,150.0
676049,49.38,92.91,50.0,150.0
676572,49.23,100.0,50.0,150.0
677095,49.21,100.0,50.0,150.0
677618,49.16,100.0,50.0,150.0
678141,49.25,100.0,50.0,150.0
678664,49.4,90.57,50.0,150.0
679190,49.69,46.03,50.0,150.0
679713,49.96,6.19,50.0,150.0
680236,50.04,0.0,50.0,150.0
680759,50.08,0.0,50.0,150.0
681282,50.13,0.0,50.0,150.0
681805,50.11,0.0,50.0,150.0
682328,50.04,0.0,50.0,150.0
682851,49.93,10.1,50.0,150.0
683375,49.86,20.25,50.0,150.0
683898,49.74,39.0,50.0,150.0
684421,49.67,49.94,50.0,150.0
684944,49.52,71.82,50.0,150.0
685467,49.44,83.53,50.0,150.0
685990,49.35,96.82,50.0,150.0
686514,49.27,100.0,50.0,150.0
687037,49.2,100.0,50.0,150.0
687562,49.18,100.0,50.0,150.0
688085,49.33,100.0,50.0,150.0
688608,49.51,73.38,50.0,150.0
689131,49.74,39.0,50.0,150.0
689654,49.97,3.85,50.0,150.0
690177,50.03,0.0,50.0,150.0
690700,50.09,0.0,50.0,150.0
691223,50.11,0.0,50.0,150.0
691746,50.06,0.0,50.0,150.0
692269,49.99,1.5,50.0,150.0
692792,49.86,20.25,50.0,150.0
693315,49.8,30.41,50.0,150.0
693839,49.69,46.81,50.0,150.0
694362,49.59,61.66,50.0,150.0
694884,49.45,82.75,50.0,150.0
695408,49.36,96.03,50.0,150.0
695933,49.27,100.0,50.0,150.0
696456,49.23,100.0,50.0,150.0
696979,49.08,100.0,50.0,150.0
697502,49.23,100.0,50.0,150.0
